date_time,concentration
2019-12-29 16:53:59,0.01
2019-12-29 16:55:59,0.01
2019-12-29 16:57:59,0.01
2019-12-29 16:59:59,0.01
2019-12-29 17:01:59,0.01
2019-12-29 17:03:59,0.01
2019-12-29 17:05:59,0.01
2019-12-29 17:07:59,0.01
2019-12-29 17:09:59,0.009
2019-12-29 17:11:59,0.009
2019-12-29 17:13:59,0.009
2019-12-29 17:15:59,0.009
2019-12-29 17:17:59,0.009
2019-12-29 17:19:59,0.009
2019-12-29 17:21:59,0.009
2019-12-29 17:23:59,0.009
2019-12-29 17:25:59,0.009
2019-12-29 17:27:59,0.01
2019-12-29 17:29:59,0.01
2019-12-29 17:31:59,0.01
2019-12-29 17:33:59,0.01
2019-12-29 17:35:59,0.009
2019-12-29 17:37:59,0.009
2019-12-29 17:39:59,0.009
2019-12-29 17:41:59,0.009
2019-12-29 17:43:59,0.009
2019-12-29 17:45:59,0.01
2019-12-29 17:47:59,0.01
2019-12-29 17:49:59,0.009
2019-12-29 17:51:59,0.009
2019-12-29 17:53:59,0.009
2019-12-29 17:55:59,0.009
2019-12-29 17:57:59,0.009
2019-12-29 17:59:59,0.008
2019-12-29 18:01:59,0.008
2019-12-29 18:03:59,0.008
2019-12-29 18:05:59,0.009
2019-12-29 18:07:59,0.009
2019-12-29 18:09:59,0.01
2019-12-29 18:11:59,0.011
2019-12-29 18:13:59,0.018
2019-12-29 18:15:59,0.011
2019-12-29 18:17:59,0.011
2019-12-29 18:19:59,0.01
2019-12-29 18:21:59,0.01
2019-12-29 18:23:59,0.009
2019-12-29 18:25:59,0.009
2019-12-29 18:27:59,0.01
2019-12-29 18:29:59,0.011
2019-12-29 18:31:59,0.011
2019-12-29 18:33:59,0.01
2019-12-29 18:35:59,0.009
2019-12-29 18:37:59,0.009
2019-12-29 18:39:59,0.009
2019-12-29 18:41:59,0.01
2019-12-29 18:43:59,0.01
2019-12-29 18:45:59,0.01
2019-12-29 18:47:59,0.01
2019-12-29 18:49:59,0.009
2019-12-29 18:51:59,0.009
2019-12-29 18:53:59,0.009
2019-12-29 18:55:59,0.009
2019-12-29 18:57:59,0.009
2019-12-29 18:59:59,0.01
2019-12-29 19:01:59,0.01
2019-12-29 19:03:59,0.01
2019-12-29 19:05:59,0.01
2019-12-29 19:07:59,0.011
2019-12-29 19:09:59,0.01
2019-12-29 19:11:59,0.01
2019-12-29 19:13:59,0.01
2019-12-29 19:15:59,0.01
2019-12-29 19:17:59,0.01
2019-12-29 19:19:59,0.01
2019-12-29 19:21:59,0.011
2019-12-29 19:23:59,0.011
2019-12-29 19:25:59,0.011
2019-12-29 19:27:59,0.01
